actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
240,PT07M16.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,49,29,78,h,Pritchard Free Throw Technical (6 PTS),Free Throw,Free Throw Technical,1,0,170
241,PT07M16.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,SUB: Tatum FOR Hauser,Substitution,,0,0,171
242,PT07M16.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,SUB: Bona FOR Drummond,Substitution,,0,0,172
245,PT07M03.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,54,51,7,Made,1,49,31,80,v,Edgecombe 7' Driving Floating Jump Shot (2 PTS) (Maxey 2 AST),Made Shot,Driving Floating Jump Shot,1,2,173
247,PT06M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey P.FOUL (P1.T2) (P.Fraher),Foul,Personal,1,0,174
249,PT06M50.00S,2,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Timeout: Regular (Full 2 Short 0),Timeout,Regular,0,0,175
250,PT06M50.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,SUB: Oubre Jr. FOR George,Substitution,,0,0,176
252,PT06M40.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey S.FOUL (P2.T3) (T.Maddox),Foul,Shooting,1,0,177
254,PT06M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,50,31,81,h,Brown Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,1,0,178
255,PT06M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,51,31,82,h,Brown Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,179
256,PT06M31.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-142,198,24,Missed,1,,,0,v,MISS Edgecombe 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,180
257,PT06M28.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,,,0,v,Bona REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,181
