actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
262,PT06M06.00S,2,1610612738,BOS,1627759,Brown,J. Brown,-13,53,5,Missed,1,51.0,31.0,0,h,MISS Brown 5' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,186,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
263,PT06M05.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,51.0,31.0,0,h,Brown REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,187,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
264,PT06M05.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,Missed,1,51.0,31.0,0,h,MISS Brown Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,188,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
265,PT06M04.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,51.0,31.0,0,v,Edwards REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,189,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
266,PT05M54.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-186,179,26,Missed,1,51.0,31.0,0,v,MISS Edwards 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,190,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
267,PT05M53.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,51.0,31.0,0,h,Brown REBOUND (Off:1 Def:3),Rebound,Unknown,1,0,191,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
268,PT05M46.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,112,237,26,Made,1,54.0,31.0,85,h,Tatum 26' 3PT Running Pull-Up Jump Shot (13 PTS),Made Shot,Running Pull-Up Jump Shot,1,3,192,31-54,31-51,23.0,1,False,3.0,0.0,HOME,3.0
269,PT05M29.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,20,10,2,Missed,1,54.0,31.0,0,v,MISS Oubre Jr. 2' Driving Layup,Missed Shot,Driving Layup Shot,1,2,193,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
270,PT05M28.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,54.0,31.0,0,v,Edwards REBOUND (Off:2 Def:2),Rebound,Unknown,1,0,194,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
289,PT05M28.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-12,24,3,Missed,1,54.0,31.0,0,v,MISS Edwards 3' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,195,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
